code_com,type_nom,nom,inscrits
02293,1,Étaves-et-Bocquiaux,423
02294,1,Étouvelles,170
02295,1,Étréaupont,642
02296,1,Étreillers,886
02297,1,Étrépilly,108
02298,1,Étreux,1062
02299,1,Évergnicourt,388
02302,0,Faverolles,269
02303,0,Fayet,595
02304,3,Fère,1406
02305,0,Fère-en-Tardenois,1994
02306,3,Ferté-Chevresis,423
02307,3,Ferté-Milon,1541
02308,0,Fesmy-le-Sart,354
02309,0,Festieux,500
02310,0,Fieulaine,217
02311,0,Filain,94
02312,3,Flamengrie,779
02313,0,Flavigny-le-Grand-et-Beaurain,337
02315,0,Flavy-le-Martel,1120
02316,0,Fleury,129
02317,0,Fluquières,161
02318,0,Folembray,1027
02319,0,Fonsomme,359
02320,0,Fontaine-lès-Clercs,218
02321,0,Fontaine-lès-Vervins,681
02322,0,Fontaine-Notre-Dame,293
02323,0,Fontaine-Uterte,101
02324,0,Fontenelle,202
02326,0,Fontenoy,391
02327,0,Foreste,136
02328,0,Fossoy,445
02329,0,Fourdrain,327
02330,0,Francilly-Selency,401
02331,0,Franqueville,84
02332,0,Fresnes-en-Tardenois,183
02333,0,Fresnes-sous-Coucy,112
02334,0,Fresnoy-le-Grand,2112
02335,0,Fressancourt,144
02336,0,Frières-Faillouël,734
02337,0,Froidestrées,161
02338,0,Froidmont-Cohartille,189
02339,0,Gandelu,504
02340,0,Gauchy,4126
02341,0,Gercy,213
02342,0,Gergny,102
02343,0,Germaine,63
02345,0,Gibercourt,27
02346,0,Gizy,526
02347,0,Gland,373
02349,0,Goudelancourt-lès-Berrieux,53
02350,0,Goudelancourt-lès-Pierrepont,102
02351,0,Goussancourt,98
02352,0,Gouy,424
02353,0,Grandlup-et-Fay,244
02354,0,Grandrieux,61
02355,0,Gricourt,790
02356,0,Grisolles,145
02357,0,Gronard,46
02358,0,Grougis,281
02359,0,Grugies,861
02360,0,Villeneuve-sur-Aisne,1975
02361,0,Guise,3260
02362,0,Guivry,187
02363,0,Guny,304
02364,0,Guyencourt,194
02366,0,Hannapes,227
02367,0,Happencourt,125
02368,1,Haramont,459
02369,1,Harcigny,191
02370,1,Hargicourt,401
02371,1,Harly,1160
02372,1,Hartennes-et-Taux,252
02373,0,Hary,178
02374,0,Lehaucourt,586
02375,1,Hautevesnes,121
02376,0,Hauteville,135
02377,0,Haution,110
02378,3,Hérie,116
02379,2,Hérie-la-Viéville,167
02380,0,Hinacourt,32
02381,1,Hirson,6051
02382,0,Holnon,1044
02383,1,Homblières,1144
02384,0,Houry,46
02385,0,Housset,136
02386,1,Iron,160
02387,1,Itancourt,828
02388,1,Iviers,153
02389,0,Jaulgonne,478
02390,0,Jeancourt,176
02391,0,Jeantes,147
02392,0,Joncourt,281
02393,0,Jouaignes,113
02395,0,Jumencourt,121
02396,0,Jumigny,42
02397,0,Jussy,923
02398,0,Juvigny,237
02399,0,Juvincourt-et-Damary,414
02400,0,Laffaux,115
02401,0,Laigny,160
02402,0,Lanchy,44
02403,0,Landifay-et-Bertaignemont,226
02404,0,Landouzy-la-Cour,146
02405,0,Landouzy-la-Ville,410
02406,0,Landricourt,103
02407,0,Laniscourt,162
02408,0,Laon,15292
02409,0,Lappion,219
02410,0,Largny-sur-Automne,186
02411,0,Latilly,163
02412,0,Launoy,75
02413,0,Laval-en-Laonnois,185
02414,0,Lavaqueresse,167
02415,0,Laversine,102
02416,0,Lemé,332
02417,0,Lempire,92
02418,0,Lerzy,155
02419,0,Leschelle,212
02420,0,Lesdins,624
02421,0,Lesges,59
02422,0,Lesquielles-Saint-Germain,574
02423,0,Leuilly-sous-Coucy,337
02424,0,Leury,87
02425,0,Leuze,139
02426,0,Levergies,415
02427,0,Lhuys,98
02428,0,Licy-Clignon,58
02429,0,Lierval,85
02430,0,Liesse-Notre-Dame,826
02431,0,Liez,324
02432,0,Limé,155
02433,0,Lislet,203
02435,0,Logny-lès-Aubenton,74
02438,0,Longpont,200
02439,4,Septvallons,806
02440,0,Lor,106
02441,0,Louâtre,168
02442,0,Loupeigne,71
02443,0,Lucy-le-Bocage,143
02444,0,Lugny,96
02445,0,Luzoir,212
02446,0,Ly-Fontaine,97
02447,0,Maast-et-Violaine,94
02448,0,Mâchecourt,94
02449,0,Macogny,49
02450,0,Macquigny,252
02451,0,Magny-la-Fosse,101
02452,0,Maissemy,210
02453,0,Maizy,277
02454,3,Malmaison,317
02455,0,Malzy,156
02456,0,Manicamp,294
02457,0,Marchais,298
02458,0,Dhuys et Morin-en-Brie,585
02459,0,Marcy,146
02460,0,Marcy-sous-Marle,174
02461,0,Marest-Dampcourt,271
02462,0,Mareuil-en-Dôle,171
02463,0,Marfontaine,55
02464,0,Margival,241
02465,0,Marigny-en-Orxois,329
02466,0,Marizy-Sainte-Geneviève,100
02467,0,Marizy-Saint-Mard,37
02468,0,Marle,1546
02469,0,Marly-Gomont,365
02470,0,Martigny,314
02471,0,Martigny-Courpierre,107
02472,0,Mauregny-en-Haye,328
02473,0,Mayot,154
02474,0,Mennessis,287
02476,0,Mennevret,456
02477,0,Mercin-et-Vaux,775
02478,0,Merlieux-et-Fouquerolles,198
02480,0,Mesbrecourt-Richecourt,240
02481,0,Mesnil-Saint-Laurent,366
02482,0,Meurival,40
02483,0,Mézières-sur-Oise,414
02484,0,Mézy-Moulins,350
02485,0,Missy-aux-Bois,81
02486,0,Missy-lès-Pierrepont,72
02487,0,Missy-sur-Aisne,512
02488,0,Molain,119
02489,0,Molinchart,256
02490,0,Monampteuil,109
02491,0,Monceau-le-Neuf-et-Faucouzy,265
02492,0,Monceau-lès-Leups,348
02493,0,Monceau-le-Waast,173
02494,0,Monceau-sur-Oise,108
02495,0,Mondrepuis,734
02496,0,Monnes,86
02497,0,Mons-en-Laonnois,866
02498,0,Montaigu,561
02499,0,Montbavin,38
02500,0,Montbrehain,611
02501,0,Montchâlons,62
02502,0,Montcornet,900
02503,0,Mont-d'Origny,699
02504,0,Montescourt-Lizerolles,1096
02505,0,Montfaucon,153
02506,0,Montgobert,156
02507,0,Montgru-Saint-Hilaire,32
02508,0,Monthenault,108
02509,0,Monthiers,133
02510,0,Monthurel,108
02511,0,Montigny-en-Arrouaise,238
02512,0,Montigny-l'Allier,176
02513,0,Montigny-le-Franc,110
02514,0,Montigny-Lengrain,571
02515,0,Montigny-lès-Condé,57
02516,0,Montigny-sous-Marle,56
02517,0,Montigny-sur-Crécy,210
02518,0,Montlevon,235
02519,0,Montloué,134
02520,0,Mont-Notre-Dame,486
02521,0,Montreuil-aux-Lions,968
02522,0,Mont-Saint-Jean,55
02523,0,Mont-Saint-Martin,65
02524,0,Mont-Saint-Père,536
02525,0,Morcourt,465
02526,0,Morgny-en-Thiérache,82
02527,0,Morsain,329
02528,0,Mortefontaine,156
02529,0,Mortiers,145
02530,0,Moulins,64
02531,0,Moussy-Verneuil,91
02532,0,Moÿ-de-l'Aisne,775
02533,0,Muret-et-Crouttes,88
02534,0,Muscourt,38
02535,0,Nampcelles-la-Cour,97
